Report Generated 2025-05-03 16:48:56.458710

Stochastic Columm Sums

College of Winterhold          : 2.00
Kilkreath Ruins                : 1.09
Mistveil Keep                  : 1.09
Nightcaller Temple             : 1.08
Great Lift at Mzinchaleft      : 1.08
Bonestrewn Crest               : 1.08
Wayward Pass                   : 1.08
Falkreath Watchtower           : 1.08
Fort Amol                      : 1.07
Solitude                       : 1.07
Sacellum of Boethiah           : 1.07
Aftershock Radiant Location 6  : 1.07
Stonehill Bluff                : 1.07
Autumnwatch Tower              : 1.07
Journeyman's Nook              : 1.07
Whistling Mine                 : 1.07
Aftershock Radiant Location 16 : 1.06
Forelhost                      : 1.06
Sarethi Farm                   : 1.06
Nilheim                        : 1.06
Chillwind Depths               : 1.06
Dainty Sload                   : 1.06
Deepwood Redoubt               : 1.06
Aftershock Radiant Location 20 : 1.06
Merryfair Farm                 : 1.06
Haafingar Stormcloak Camp      : 1.06
Stony Creek Cave               : 1.05
Aftershock Radiant Location 15 : 1.05
Brandy-Mug Farm                : 1.05
Frostmere Crypt                : 1.05
Brinewater Grotto              : 1.03
Dawnstar                       : 1.03
Winterhold Imperial Camp       : 1.03
Serpent's Bluff Redoubt        : 1.03
Sky Haven Temple               : 1.03
Darklight Tower                : 1.03
The Lord Stone                 : 1.03
South Shriekwind Bastion       : 1.02
Forsaken Cave                  : 1.02
Thieves Guild                  : 1.02
Shor's Stone                   : 1.02
Boulderfall Cave               : 1.02
Pale Stormcloak Camp           : 1.01
The Steed Stone                : 1.01
Valtheim Towers                : 1.01
Aftershock Radiant Location 12 : 1.01
Blizzard Rest                  : 1.01
Whitewatch Tower               : 1.01
Aftershock Radiant Location 24 : 1.01
Bleakwind Basin                : 1.01
Karthwasten                    : 1.01
Gjukar's Monument              : 1.00
Throat of the World            : 1.00
High Hrothgar                  : 1.00
Aftershock Radiant Location 22 : 1.00
Liar's Retreat                 : 1.00
Great Lift at Alftand          : 0.99
Sundered Towers                : 0.99
Darkshade                      : 0.99
Movarth's Lair                 : 0.99
Traitor's Post                 : 0.98
Whiterun Stables               : 0.98
Pelagia Farm                   : 0.98
Whiterun                       : 0.98
Silent Moons Camp              : 0.98
Clearspring Tarn               : 0.98
Kolskeggr Mine                 : 0.98
Clearpine Pond                 : 0.97
Hjaalmarch Imperial Camp       : 0.97
Broken Helm Hollow             : 0.97
Northwind Summit               : 0.97
Crystaldrift Cave              : 0.96
Northwind Mine                 : 0.96
The Guardian Stones            : 0.96
Skyborn Altar                  : 0.96
Halldir's Cairn                : 0.96
Karthspire Camp                : 0.96
Mara's Eye Pond                : 0.95
Riverside Shack                : 0.95
Sunderstone Gorge              : 0.95
Pale Imperial Camp             : 0.95
Ironbind Barrow                : 0.95
Cracked Tusk Keep              : 0.95
Driftshade Refuge              : 0.95
Broken Tower Redoubt           : 0.94
Aftershock Radiant Location 27 : 0.93
Solitude Military Camp         : 0.93
Aftershock Radiant Location 23 : 0.93
Northwatch Keep                : 0.93
Windward Ruins                 : 0.93
Peak's Shade Tower             : 0.93
Aftershock Radiant Location 4  : 0.93
Helgen                         : 0.93
Shrouded Grove                 : 0.92
Duskglow Crevice               : 0.92
Moss Mother Cavern             : 0.92
Yngol Barrow                   : 0.92
Shroud Hearth Barrow           : 0.92
Ivarstead                      : 0.92
Swindler's Den                 : 0.92
Whiterun Imperial Camp         : 0.92
Aftershock Radiant Location 14 : 0.91
Tumble Arch Pass               : 0.91
Potema's Catacombs             : 0.91
Shrine of Mehrunes Dagon       : 0.91
Dragontooth Crater             : 0.90
South Brittleshin Pass         : 0.90
Understone Keep                : 0.90
Markarth Stables               : 0.90
Markarth                       : 0.90
Hob's Fall Cave                : 0.90
Folgunthur                     : 0.90
Darkwater Crossing             : 0.89
Blue Palace                    : 0.89
Bannermist Tower               : 0.89
Bleakwind Bluff                : 0.89
Pinemoon Cave                  : 0.88
Kynesgrove                     : 0.88
Ironback Hideout               : 0.88
Dragonsreach                   : 0.88
Dragon Bridge Overlook         : 0.88
Crabber's Shanty               : 0.88
Labyrinthian                   : 0.88
Tower of Mzark                 : 0.88
Korvanjund                     : 0.87
Eldersblood Peak               : 0.87
Winterhold Stormcloak Camp     : 0.87
Lost Valley Redoubt            : 0.87
Bard's Leap Summit             : 0.87
Fort Fellhammer                : 0.87
Shimmermist Cave               : 0.87
Bleakcoast Cave                : 0.87
Mzulft                         : 0.86
Wreck of the Icerunner         : 0.85
Witchmist Grove                : 0.84
Lund's Hut                     : 0.84
Mistwatch                      : 0.84
Avanchnzel                     : 0.83
Wreck of The Pride of Tel Vos  : 0.83
Riften                         : 0.83
Dragon Bridge                  : 0.82
Palace of the Kings            : 0.82
Alftand                        : 0.82
Katla's Farm                   : 0.81
Snowpoint Beacon               : 0.81
The Atronach Stone             : 0.81
Hamvir's Rest                  : 0.81
Greenspring Hollow             : 0.81
Dustman's Cairn                : 0.81
Whiterun Military Camp         : 0.81
Kjenstag Ruins                 : 0.80
Steamcrag Camp                 : 0.80
Aftershock Radiant Location 18 : 0.80
Shadowgreen Cavern             : 0.79
Lost Tongue Overlook           : 0.78
The Apprentice Stone           : 0.78
Morthal                        : 0.78
Aftershock Radiant Location 10 : 0.78
Pinewatch                      : 0.78
Anise's Cabin                  : 0.77
Hag's End                      : 0.76
Gallows Rock                   : 0.75
Ravenscar Hollow               : 0.75
Largashbur                     : 0.75
Orphan's Tear                  : 0.74
Aftershock Radiant Location 7  : 0.74
Fallowstone Cave               : 0.73
Lost Prospect Mine             : 0.73
Aftershock Radiant Location 21 : 0.73
Great Lift at Raldbthar        : 0.73
The Lover Stone                : 0.73
Darkwater Pass                 : 0.73
Treva's Watch                  : 0.73
Narzulbur                      : 0.72
Windhelm                       : 0.72
Fort Greymoor                  : 0.71
Meeko's Shack                  : 0.71
Broken Limb Camp               : 0.71
North Brittleshin Pass         : 0.70
Fort Sungard                   : 0.70
Volunruud                      : 0.70
Froki's Shack                  : 0.70
Stendarr's Beacon              : 0.69
Old Hroldan Inn                : 0.68
North Cold Rock Pass           : 0.68
Broken Oar Grotto              : 0.67
Dawnstar Sanctuary             : 0.67
Pinepeak Cavern                : 0.67
Rorikstead                     : 0.67
Robber's Gorge                 : 0.65
Loreius Farm                   : 0.65
Arcwind Point                  : 0.65
Shearpoint                     : 0.64
Faldar's Tooth                 : 0.64
Solitude Lighthouse            : 0.62
Shrine of Talos                : 0.62
Fort Greenwall                 : 0.60
Aftershock Radiant Location 17 : 0.59
Reachwind Eyrie                : 0.59
Ruins of Rkund                 : 0.59
Orphan Rock                    : 0.58
Sleeping Tree Camp             : 0.58
Purewater Run                  : 0.58
Refugees' Rest                 : 0.58
Guldun Rock                    : 0.57
Saarthal                       : 0.57
Gloombound Mine                : 0.54
Angi's Camp                    : 0.53
Shrine of Azura                : 0.53
Whiterun Stormcloak Camp       : 0.52
Aftershock Radiant Location 8  : 0.51
Riverwood                      : 0.50
Wreck Of The Brinehammer       : 0.50
Deep Folk Crossing             : 0.50
Winterhold                     : 0.50
Skytemple Ruins                : 0.50
Hela's Folly                   : 0.50
Japhet's Folly                 : 0.50
Ysgramor's Tomb                : 0.50
Lost Knife Hideout             : 0.48
Glenmoril Coven                : 0.48
Kagrenzel                      : 0.45
Tolvald's Cave                 : 0.45
Haemar's Shame                 : 0.45
Valthume                       : 0.45
Twilight Sepulcher             : 0.42
Mor Khazgur                    : 0.42
Secunda's Kiss                 : 0.34
Anga's Mill                    : 0.33
Fort Kastav                    : 0.33
Dead Crone Rock                : 0.33
Bloodlet Throne                : 0.25
Southfringe Sanctum            : 0.25
Ragnvald                       : 0.25
Talking Stone Camp             : 0.20
