Report Generated 2025-05-03 17:26:50.827796

Stochastic Columm Sums

College of Winterhold          : 25.29
Anga's Mill                    : 0.09
Northwatch Keep                : 0.09
Wreck of The Pride of Tel Vos  : 0.09
Dragon Bridge Overlook         : 0.09
Serpent's Bluff Redoubt        : 0.09
Merryfair Farm                 : 0.07
Avanchnzel                     : 0.07
Black Briar Lodge              : 0.07
Pinemoon Cave                  : 0.06
Hillgrund's Tomb               : 0.04
Blind Cliff Cave               : 0.04
Hag's End                      : 0.04
Lost Valley Redoubt            : 0.04
Bleakwind Bluff                : 0.04
Yngvild                        : 0.04
Embershard Mine                : 0.04
Stonehills                     : 0.03
Blizzard Rest                  : 0.03
Red Road Pass                  : 0.03
Tumble Arch Pass               : 0.03
Shrouded Grove                 : 0.03
Southfringe Sanctum            : 0.02
Sunderstone Gorge              : 0.02
Bilegulch Mine                 : 0.02
Bannermist Tower               : 0.02
Volskygge                      : 0.02
Lost Valkygg                   : 0.02
High Gate Ruins                : 0.02
Ragnvald                       : 0.02
Valthume                       : 0.02
Forelhost                      : 0.02
Ironbind Barrow                : 0.02
Saarthal                       : 0.02
Snow Veil Sanctum              : 0.02
Yngol Barrow                   : 0.02
Driftshade Refuge              : 0.02
Fort Fellhammer                : 0.02
Halted Stream Camp             : 0.02
Redoran's Retreat              : 0.02
White River Watch              : 0.02
Valtheim Towers                : 0.02
Moss Mother Cavern             : 0.01
Darkshade                      : 0.01
Darklight Tower                : 0.01
Brood Cavern                   : 0.01
Clearspring Tarn               : 0.01
Mara's Eye Pond                : 0.01
Falkreath Watchtower           : 0.01
Boulderfall Cave               : 0.01
Fellglow Keep                  : 0.01
Shadowgreen Cavern             : 0.01
Steepfall Burrow               : 0.01
Traitor's Post                 : 0.01
Mistwatch                      : 0.01
Pinepeak Cavern                : 0.01
Tolvald's Cave                 : 0.01
Faldar's Tooth                 : 0.01
Treva's Watch                  : 0.01
Autumnshade Clearing           : 0.01
Rannveig's Fast                : 0.01
