Report Generated 2025-05-03 17:26:50.812793

Stochastic Columm Sums

Riverwood                      : 2.32
Windward Ruins                 : 0.93
Peak's Shade Tower             : 0.93
Aftershock Radiant Location 15 : 0.92
Shrouded Grove                 : 0.92
Duskglow Crevice               : 0.92
Moss Mother Cavern             : 0.92
Movarth's Lair                 : 0.92
Windhelm Stables               : 0.92
Yngol Barrow                   : 0.92
Swindler's Den                 : 0.92
Whiterun Imperial Camp         : 0.92
Embershard Mine                : 0.92
Aftershock Radiant Location 14 : 0.91
Tumble Arch Pass               : 0.91
Shrine of Mehrunes Dagon       : 0.91
Whitewatch Tower               : 0.91
Hjaalmarch Imperial Camp       : 0.91
Dragontooth Crater             : 0.90
South Brittleshin Pass         : 0.90
Understone Keep                : 0.90
Markarth Stables               : 0.90
Markarth                       : 0.90
Hob's Fall Cave                : 0.90
Folgunthur                     : 0.90
Darkwater Crossing             : 0.89
Bannermist Tower               : 0.89
Bleakwind Bluff                : 0.89
Kolskeggr Mine                 : 0.89
Pinemoon Cave                  : 0.88
Blizzard Rest                  : 0.88
Brandy-Mug Farm                : 0.88
Dragon Bridge Overlook         : 0.88
Crabber's Shanty               : 0.88
Labyrinthian                   : 0.88
Korvanjund                     : 0.87
Aftershock Radiant Location 4  : 0.87
Eldersblood Peak               : 0.87
Winterhold Stormcloak Camp     : 0.87
Lost Valley Redoubt            : 0.87
Bard's Leap Summit             : 0.87
Fort Fellhammer                : 0.87
Shimmermist Cave               : 0.87
Bleakcoast Cave                : 0.87
Riverside Shack                : 0.86
Karthspire Camp                : 0.86
Mzulft                         : 0.86
The Guardian Stones            : 0.85
Ironback Hideout               : 0.85
Potema's Catacombs             : 0.85
Wreck of the Icerunner         : 0.85
Lund's Hut                     : 0.84
Mistwatch                      : 0.84
Avanchnzel                     : 0.83
Wreck of The Pride of Tel Vos  : 0.83
Solitude Military Camp         : 0.83
Blue Palace                    : 0.82
Dragon Bridge                  : 0.82
Snowpoint Beacon               : 0.81
The Atronach Stone             : 0.81
Hamvir's Rest                  : 0.81
Greenspring Hollow             : 0.81
Dustman's Cairn                : 0.81
Steamcrag Camp                 : 0.80
Aftershock Radiant Location 18 : 0.80
Lost Tongue Overlook           : 0.78
The Apprentice Stone           : 0.78
Morthal                        : 0.78
Aftershock Radiant Location 10 : 0.78
North Skybound Watch           : 0.78
Pinewatch                      : 0.78
Whiterun Stables               : 0.77
Pelagia Farm                   : 0.77
Shroud Hearth Barrow           : 0.77
Hag's End                      : 0.76
Shadowgreen Cavern             : 0.76
Whiterun Military Camp         : 0.76
Gallows Rock                   : 0.75
Witchmist Grove                : 0.75
Largashbur                     : 0.75
Orphan's Tear                  : 0.74
Aftershock Radiant Location 7  : 0.74
Palace of the Kings            : 0.73
Fallowstone Cave               : 0.73
Lost Prospect Mine             : 0.73
Aftershock Radiant Location 21 : 0.73
Great Lift at Raldbthar        : 0.73
Kjenstag Ruins                 : 0.73
Darkwater Pass                 : 0.73
Treva's Watch                  : 0.73
Ravenscar Hollow               : 0.72
Narzulbur                      : 0.72
Katla's Farm                   : 0.71
Meeko's Shack                  : 0.71
Broken Limb Camp               : 0.71
North Brittleshin Pass         : 0.70
Fort Sungard                   : 0.70
Volunruud                      : 0.70
Froki's Shack                  : 0.70
Stendarr's Beacon              : 0.69
Old Hroldan Inn                : 0.68
North Cold Rock Pass           : 0.68
Broken Oar Grotto              : 0.67
Dawnstar Sanctuary             : 0.67
Rorikstead                     : 0.67
Hall of Valor                  : 0.67
Anise's Cabin                  : 0.66
Robber's Gorge                 : 0.65
Loreius Farm                   : 0.65
Arcwind Point                  : 0.65
Fort Greymoor                  : 0.64
Shearpoint                     : 0.64
Faldar's Tooth                 : 0.64
The Lover Stone                : 0.64
Solitude Lighthouse            : 0.62
Shrine of Talos                : 0.62
Fort Greenwall                 : 0.60
Aftershock Radiant Location 17 : 0.59
Reachwind Eyrie                : 0.59
Ruins of Rkund                 : 0.59
Orphan Rock                    : 0.58
Sleeping Tree Camp             : 0.58
Purewater Run                  : 0.58
Refugees' Rest                 : 0.58
Guldun Rock                    : 0.57
Saarthal                       : 0.57
Gloombound Mine                : 0.54
Angi's Camp                    : 0.53
Shrine of Azura                : 0.53
Whiterun Stormcloak Camp       : 0.52
Pinepeak Cavern                : 0.52
Aftershock Radiant Location 8  : 0.51
Wreck Of The Brinehammer       : 0.50
Deep Folk Crossing             : 0.50
Winterhold                     : 0.50
Skytemple Ruins                : 0.50
Hela's Folly                   : 0.50
Japhet's Folly                 : 0.50
Ysgramor's Tomb                : 0.50
Lost Knife Hideout             : 0.48
Glenmoril Coven                : 0.48
Skuldafn                       : 0.46
Kagrenzel                      : 0.45
Tolvald's Cave                 : 0.45
Haemar's Shame                 : 0.45
Valthume                       : 0.45
Twilight Sepulcher             : 0.42
Mor Khazgur                    : 0.42
Septimus Signus's Outpost      : 0.41
Blackreach                     : 0.41
Anga's Mill                    : 0.33
Fort Kastav                    : 0.33
Dead Crone Rock                : 0.33
Bloodlet Throne                : 0.25
Southfringe Sanctum            : 0.25
Ragnvald                       : 0.25
Talking Stone Camp             : 0.20
Secunda's Kiss                 : 0.17
