Report Generated 2025-05-04 13:59:29.219327

Stochastic Columm Sums

Thieves Guild                  : 4.66
Sundered Towers                : 0.99
Darklight Tower                : 0.99
Darkshade                      : 0.99
Movarth's Lair                 : 0.99
The Shadow Stone               : 0.99
Traitor's Post                 : 0.98
Silent Moons Camp              : 0.98
Clearspring Tarn               : 0.98
Pale Stormcloak Camp           : 0.98
Kolskeggr Mine                 : 0.98
Clearpine Pond                 : 0.97
Hjaalmarch Imperial Camp       : 0.97
Northwind Summit               : 0.97
The Katariah                   : 0.97
Northwind Mine                 : 0.96
The Guardian Stones            : 0.96
Skyborn Altar                  : 0.96
Halldir's Cairn                : 0.96
Karthspire Camp                : 0.96
Forelhost                      : 0.96
Pinewatch                      : 0.95
Riverside Shack                : 0.95
Sunderstone Gorge              : 0.95
Pale Imperial Camp             : 0.95
Ironbind Barrow                : 0.95
Driftshade Refuge              : 0.95
Crystaldrift Cave              : 0.95
Brinewater Grotto              : 0.94
Broken Tower Redoubt           : 0.94
South Shriekwind Bastion       : 0.94
Northwatch Keep                : 0.93
Windward Ruins                 : 0.93
Aftershock Radiant Location 4  : 0.93
Helgen                         : 0.93
Shrouded Grove                 : 0.92
Understone Keep                : 0.92
Duskglow Crevice               : 0.92
Moss Mother Cavern             : 0.92
Yngol Barrow                   : 0.92
Shroud Hearth Barrow           : 0.92
Ivarstead                      : 0.92
Swindler's Den                 : 0.92
Whiterun Imperial Camp         : 0.92
Aftershock Radiant Location 14 : 0.91
Shrine of Mehrunes Dagon       : 0.91
Dragontooth Crater             : 0.90
South Brittleshin Pass         : 0.90
Hob's Fall Cave                : 0.90
Mara's Eye Pond                : 0.90
Darkwater Crossing             : 0.89
Bannermist Tower               : 0.89
Bleakwind Bluff                : 0.89
Pinemoon Cave                  : 0.88
Kynesgrove                     : 0.88
Aftershock Radiant Location 23 : 0.88
Tumble Arch Pass               : 0.88
Ironback Hideout               : 0.88
Salvius Farm                   : 0.88
Dragon Bridge Overlook         : 0.88
Crabber's Shanty               : 0.88
Labyrinthian                   : 0.88
Tower of Mzark                 : 0.88
Korvanjund                     : 0.87
Riften Stables                 : 0.87
Eldersblood Peak               : 0.87
Mistveil Keep                  : 0.87
Lost Valley Redoubt            : 0.87
Bard's Leap Summit             : 0.87
Fort Fellhammer                : 0.87
Shimmermist Cave               : 0.87
Aftershock Radiant Location 27 : 0.87
Broken Helm Hollow             : 0.87
Whiterun Stables               : 0.86
Pelagia Farm                   : 0.86
Mzulft                         : 0.86
Folgunthur                     : 0.85
Wreck of the Icerunner         : 0.85
Witchmist Grove                : 0.84
Lund's Hut                     : 0.84
Mistwatch                      : 0.84
Merryfair Farm                 : 0.84
Peak's Shade Tower             : 0.84
Avanchnzel                     : 0.83
Wreck of The Pride of Tel Vos  : 0.83
Dragon Bridge                  : 0.82
Alftand                        : 0.82
Solitude Military Camp         : 0.82
Snowpoint Beacon               : 0.81
The Atronach Stone             : 0.81
Hamvir's Rest                  : 0.81
Greenspring Hollow             : 0.81
Dustman's Cairn                : 0.81
Palace of the Kings            : 0.81
Winterhold Stormcloak Camp     : 0.80
Bleakcoast Cave                : 0.80
Kjenstag Ruins                 : 0.80
Steamcrag Camp                 : 0.80
Aftershock Radiant Location 18 : 0.80
Shadowgreen Cavern             : 0.79
The Apprentice Stone           : 0.78
Morthal                        : 0.78
Aftershock Radiant Location 10 : 0.78
Blue Palace                    : 0.77
Lost Tongue Overlook           : 0.77
Anise's Cabin                  : 0.77
Dragonsreach                   : 0.76
Hag's End                      : 0.76
Ravenscar Hollow               : 0.75
Largashbur                     : 0.75
Orphan's Tear                  : 0.74
Aftershock Radiant Location 7  : 0.74
Fallowstone Cave               : 0.73
Lost Prospect Mine             : 0.73
Aftershock Radiant Location 21 : 0.73
The Lover Stone                : 0.73
Darkwater Pass                 : 0.73
Treva's Watch                  : 0.73
Windhelm                       : 0.72
Narzulbur                      : 0.72
Fort Greymoor                  : 0.71
Meeko's Shack                  : 0.71
Potema's Catacombs             : 0.71
Broken Limb Camp               : 0.71
Cracked Tusk Keep              : 0.70
North Brittleshin Pass         : 0.70
Fort Sungard                   : 0.70
Volunruud                      : 0.70
Froki's Shack                  : 0.70
Gallows Rock                   : 0.70
Katla's Farm                   : 0.70
Stendarr's Beacon              : 0.69
Whiterun Military Camp         : 0.69
Markarth Stables               : 0.69
Old Hroldan Inn                : 0.68
North Cold Rock Pass           : 0.68
Broken Oar Grotto              : 0.67
Dawnstar Sanctuary             : 0.67
Pinepeak Cavern                : 0.67
Rorikstead                     : 0.67
Robber's Gorge                 : 0.65
Loreius Farm                   : 0.65
Arcwind Point                  : 0.65
Great Lift at Raldbthar        : 0.64
Shrine of Talos                : 0.62
Shearpoint                     : 0.61
Fort Greenwall                 : 0.60
Faldar's Tooth                 : 0.59
Aftershock Radiant Location 17 : 0.59
Reachwind Eyrie                : 0.59
Ruins of Rkund                 : 0.59
Orphan Rock                    : 0.58
Sleeping Tree Camp             : 0.58
Purewater Run                  : 0.58
Refugees' Rest                 : 0.58
Guldun Rock                    : 0.57
Saarthal                       : 0.57
Twilight Sepulcher             : 0.55
Gloombound Mine                : 0.54
Solitude Lighthouse            : 0.53
Angi's Camp                    : 0.53
Shrine of Azura                : 0.53
Whiterun Stormcloak Camp       : 0.52
Aftershock Radiant Location 8  : 0.51
Riverwood                      : 0.50
Wreck Of The Brinehammer       : 0.50
Deep Folk Crossing             : 0.50
Winterhold                     : 0.50
Skytemple Ruins                : 0.50
Japhet's Folly                 : 0.50
Ysgramor's Tomb                : 0.50
Lost Knife Hideout             : 0.48
Glenmoril Coven                : 0.48
Kagrenzel                      : 0.45
Tolvald's Cave                 : 0.45
Haemar's Shame                 : 0.45
Valthume                       : 0.45
Mor Khazgur                    : 0.42
Secunda's Kiss                 : 0.34
Fort Kastav                    : 0.33
Dead Crone Rock                : 0.33
Anga's Mill                    : 0.28
Bloodlet Throne                : 0.25
Southfringe Sanctum            : 0.25
Ragnvald                       : 0.25
Talking Stone Camp             : 0.20
Hela's Folly                   : 0.20
