Report Generated 2025-05-03 16:11:59.069136

Basic Analytics - player origin 'Helgen' 

389 nodes, 678 edges
graph density 0.008984178305462063
119 isolated node(s) (30.59% isolated)
5 nontrivial connected component(s)
nontrivial component size(s): 261 2 2 2 3 

Locations                      : Weight
Arcwind Point                  : 0.0
The Shadow Stone               : 0.0
Nilheim                        : 0.0
Rift Watchtower                : 0.0
Shor's Watchtower              : 0.0
Stendarr's Beacon              : 0.0
Ruins of Rkund                 : 0.0
Whiterun Stables               : 0.0
Battle-Born Farm               : 0.0
Chillfurrow Farm               : 0.0
Drelas' Cottage                : 0.0
Lund's Hut                     : 0.0
Bleakwind Basin                : 0.0
Guldun Rock                    : 0.0
Sleeping Tree Camp             : 0.0
Whiterun Imperial Camp         : 0.0
Whiterun Military Camp         : 0.0
Whiterun Stormcloak Camp       : 0.0
North Cold Rock Pass           : 0.0
Shimmermist Cave               : 0.0
South Cold Rock Pass           : 0.0
Hamvir's Rest                  : 0.0
Silent Moons Camp              : 0.0
The Ritual Stone               : 0.0
Whitewatch Tower               : 0.0
Greenspring Hollow             : 0.0
Sightless Pit                  : 0.0
Stillborn Cave                 : 0.0
Whistling Mine                 : 0.0
Journeyman's Nook              : 0.0
Skytemple Ruins                : 0.0
The Tower Stone                : 0.0
Snowpoint Beacon               : 0.0
Frostflow Lighthouse           : 0.0
Great Lift at Alftand          : 0.0
Pilgrim's Trench               : 0.0
Wayward Pass                   : 0.0
Wreck of the Winter War        : 0.0
