Report Generated 2025-05-04 13:59:28.796345

Basic Analytics

386 nodes, 1350 edges
graph density 0.018168360137272053
1 isolated node(s) (0.26% isolated)
1 nontrivial connected component(s)
nontrivial component size(s): 385 

Locations                      : Weight
Black Briar Lodge              : 6.0
Dushnikh Yal                   : 6.0
Gallows Rock                   : 5.9
Ruins of Bthalft               : 5.7
Druadach Redoubt               : 5.4
Blizzard Rest                  : 5.3
Swindler's Den                 : 5.3
Sunderstone Gorge              : 5.2
Bleakwind Bluff                : 5.2
Valtheim Towers                : 5.2
Dragontooth Crater             : 5.2
Lost Valkygg                   : 5.2
Bloated Man's Grotto           : 5.1
Clearspring Tarn               : 5.1
Darkshade                      : 5.1
Boulderfall Cave               : 5.1
Darkwater Pass                 : 5.1
Broken Limb Camp               : 5.0
Steamcrag Camp                 : 5.0
Witchmist Grove                : 5.0
Helgen                         : 5.0
Pinewatch                      : 5.0
Bleak Falls Barrow             : 5.0
Peak's Shade Tower             : 5.0
Dragon Bridge                  : 5.0
Ravenscar Hollow               : 5.0
Dainty Sload                   : 5.0
Orphan's Tear                  : 5.0
Chillwind Depths               : 5.0
Orotheim                       : 5.0
Eldersblood Peak               : 5.0
Skyborn Altar                  : 5.0
Folgunthur                     : 5.0
Kjenstag Ruins                 : 5.0
Duskglow Crevice               : 5.0
Nightcaller Temple             : 5.0
Great Lift at Raldbthar        : 5.0
Markarth Stables               : 5.0
Old Hroldan Inn                : 5.0
Gloomreach                     : 5.0
Bthardamz                      : 5.0
The Lover Stone                : 5.0
Alchemist's Shack              : 5.0
Black-Briar Lodge              : 5.0
Heartwood Mill                 : 5.0
Largashbur                     : 5.0
Rift Imperial Camp             : 5.0
Fallowstone Cave               : 5.0
Northwind Summit               : 5.0
Northwind Mine                 : 5.0
Shroud Hearth Barrow           : 5.0
Rorikstead                     : 5.0
Bleakwind Basin                : 5.0
Shimmermist Cave               : 5.0
Whitewatch Tower               : 5.0
Throat of the World            : 5.0
Winterhold Stormcloak Camp     : 5.0
Sightless Pit                  : 5.0
Whistling Mine                 : 5.0
Journeyman's Nook              : 5.0
Shrine of Azura                : 5.0
Frostflow Lighthouse           : 5.0
Aftershock Radiant Location 4  : 5.0
Aftershock Radiant Location 6  : 5.0
Aftershock Radiant Location 7  : 5.0
Aftershock Radiant Location 18 : 5.0
Aftershock Radiant Location 24 : 5.0
Aftershock Radiant Location 25 : 5.0
Aftershock Radiant Location 27 : 5.0
Narzulbur                      : 5.0
Deepwood Redoubt               : 4.7
South Brittleshin Pass         : 4.5
Dragon Bridge Overlook         : 4.4
Shadowgreen Cavern             : 4.3
Lost Knife Hideout             : 4.3
Hag's End                      : 4.2
Lost Valley Redoubt            : 4.2
Dead Crone Rock                : 4.2
Halted Stream Camp             : 4.2
Dustman's Cairn                : 4.2
Driftshade Refuge              : 4.1
Fort Fellhammer                : 4.1
Mistwatch                      : 4.1
Faldar's Tooth                 : 4.1
Treva's Watch                  : 4.1
Haemar's Shame                 : 4.0
Refugees' Rest                 : 4.0
The Atronach Stone             : 4.0
Anise's Cabin                  : 4.0
Falkreath Stormcloak Camp      : 4.0
Ancient's Ascent               : 4.0
Fort Neugrad                   : 4.0
Orphan Rock                    : 4.0
Brinewater Grotto              : 4.0
Crabber's Shanty               : 4.0
Labyrinthian                   : 4.0
Fort Snowhawk                  : 4.0
Pale Imperial Camp             : 4.0
Shearpoint                     : 4.0
Reach Imperial Camp            : 4.0
Cradle Stone Tower             : 4.0
Fort Sungard                   : 4.0
Bard's Leap Summit             : 4.0
Autumnwatch Tower              : 4.0
Angarvunde                     : 4.0
Avanchnzel                     : 4.0
Fort Greenwall                 : 4.0
Stendarr's Beacon              : 4.0
Ruins of Rkund                 : 4.0
Whiterun Stormcloak Camp       : 4.0
North Cold Rock Pass           : 4.0
Hamvir's Rest                  : 4.0
Silent Moons Camp              : 4.0
Greenspring Hollow             : 4.0
Winterhold Imperial Camp       : 4.0
The Tower Stone                : 4.0
Snowpoint Beacon               : 4.0
Aftershock Radiant Location 12 : 4.0
Aftershock Radiant Location 21 : 4.0
Aftershock Radiant Location 22 : 4.0
Hag Rock Redoubt               : 3.7
North Brittleshin Pass         : 3.5
Serpent's Bluff Redoubt        : 3.4
Saarthal                       : 3.1
Wreck of The Pride of Tel Vos  : 3.1
Pinepeak Cavern                : 3.1
Tolvald's Cave                 : 3.1
Mor Khazgur                    : 3.0
Gloombound Mine                : 3.0
Kagrenzel                      : 3.0
Angi's Camp                    : 3.0
Glenmoril Coven                : 3.0
Meeko's Shack                  : 3.0
Robber's Gorge                 : 3.0
The Apprentice Stone           : 3.0
Anga's Mill                    : 3.0
Volunruud                      : 3.0
Reachwind Eyrie                : 3.0
Lost Prospect Mine             : 3.0
Arcwind Point                  : 3.0
Lund's Hut                     : 3.0
Guldun Rock                    : 3.0
Whiterun Imperial Camp         : 3.0
Japhet's Folly                 : 3.0
Septimus Signus's Outpost      : 3.0
Aftershock Radiant Location 8  : 3.0
Aftershock Radiant Location 10 : 3.0
Aftershock Radiant Location 17 : 3.0
Blackreach                     : 3.0
Deep Folk Crossing             : 2.7
Yngvild                        : 2.3
Valthume                       : 2.2
Hela's Folly                   : 2.1
Bloodlet Throne                : 2.0
Secunda's Kiss                 : 2.0
Twilight Sepulcher             : 2.0
Dawnstar Sanctuary             : 2.0
Wreck Of The Brinehammer       : 2.0
Purewater Run                  : 2.0
Giant's Grove                  : 2.0
High Hrothgar                  : 2.0
Riverwood                      : 2.0
Sleeping Tree Camp             : 2.0
The Serpent Stone              : 2.0
Fort Kastav                    : 2.0
Pilgrim's Trench               : 2.0
Southfringe Sanctum            : 1.2
Ragnvald                       : 1.2
Talking Stone Camp             : 1.0
Skytemple Ruins                : 1.0
Ysgramor's Tomb                : 1.0
Wreck of the Winter War        : 0.0
